"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2019","1,040.00","1,040.00","1,040.00","1,040.00","","8.22%"
"09/01/2019","961.00","961.00","961.00","961.00","","46.49%"
"08/01/2019","656.00","656.00","656.00","656.00","","5.64%"
"07/01/2019","621.00","621.00","621.00","621.00","","-8.68%"
"06/01/2019","680.00","680.00","680.00","680.00","","6.92%"
"05/01/2019","636.00","636.00","636.00","636.00","","0.32%"
"04/01/2019","634.00","634.00","634.00","634.00","","-2.16%"
"03/01/2019","648.00","648.00","648.00","648.00","","-17.03%"
"02/01/2019","781.00","781.00","781.00","781.00","","-7.90%"
"01/01/2019","848.00","848.00","848.00","848.00","","-32.27%"
"12/01/2018","1,252.00","1,256.00","1,256.00","1,256.00","","10.60%"
"11/01/2018","1,132.00","1,132.00","1,132.00","1,132.00","","-2.16%"
"10/01/2018","1,157.00","1,157.00","1,157.00","1,157.00","","46.27%"
"09/01/2018","791.00","791.00","791.00","791.00","","0.64%"
"08/01/2018","786.00","786.00","786.00","786.00","","2.34%"
"07/01/2018","768.00","768.00","768.00","768.00","","7.87%"
"06/01/2018","712.00","712.00","712.00","712.00","","-5.57%"
"05/01/2018","754.00","754.00","754.00","754.00","","14.94%"
"04/01/2018","656.00","656.00","656.00","656.00","","-0.76%"
"03/01/2018","661.00","661.00","661.00","661.00","","0.46%"
"02/01/2018","658.00","658.00","658.00","658.00","","-0.90%"
"01/01/2018","664.00","664.00","664.00","664.00","","-19.71%"
"12/01/2017","827.00","827.00","827.00","827.00","","2.61%"
"11/01/2017","806.00","806.00","806.00","806.00","","-7.46%"
"10/01/2017","871.00","871.00","871.00","871.00","","12.24%"
"09/01/2017","776.00","776.00","776.00","776.00","","14.62%"
"08/01/2017","677.00","677.00","677.00","677.00","","5.95%"
"07/01/2017","639.00","639.00","639.00","639.00","","-3.62%"
"06/01/2017","663.00","663.00","663.00","663.00","","-13.67%"
"05/01/2017","768.00","768.00","768.00","768.00","","-2.17%"
"04/01/2017","785.00","785.00","785.00","785.00","","-0.63%"
"03/01/2017","790.00","790.00","790.00","790.00","","-5.39%"
"02/01/2017","835.00","835.00","835.00","835.00","","-7.33%"
"01/01/2017","901.00","901.00","901.00","901.00","","-1.96%"
"12/01/2016","919.00","919.00","919.00","919.00","","3.14%"
"11/01/2016","891.00","891.00","891.00","891.00","","35.82%"
"10/01/2016","656.00","656.00","656.00","656.00","","4.96%"
"09/01/2016","625.00","625.00","625.00","625.00","","21.36%"
"08/01/2016","515.00","515.00","515.00","515.00","","-4.81%"
"07/01/2016","541.00","541.00","541.00","541.00","","-21.71%"
"06/01/2016","691.00","691.00","691.00","691.00","","-8.23%"
"05/01/2016","753.00","753.00","753.00","753.00","","3.15%"
"04/01/2016","730.00","730.00","730.00","730.00","","-13.10%"
"03/01/2016","840.00","840.00","840.00","840.00","","15.07%"
"02/01/2016","730.00","730.00","730.00","730.00","","-10.65%"
"01/01/2016","817.00","817.00","817.00","817.00","","-5.98%"
"12/01/2015","869.00","869.00","869.00","869.00","","-4.19%"
"11/01/2015","907.00","907.00","907.00","907.00","","15.10%"
"10/01/2015","788.00","788.00","788.00","788.00","","10.21%"
"09/01/2015","715.00","715.00","715.00","715.00","","19.57%"
"08/01/2015","598.00","598.00","598.00","598.00","","-20.79%"
"07/01/2015","755.00","755.00","755.00","755.00","","-22.64%"
"06/01/2015","976.00","972.00","972.00","972.00","","13.89%"
"05/01/2015","857.00","856.00","856.00","856.00","","13.66%"
"04/01/2015","754.00","754.00","754.00","754.00","","-6.80%"
"03/01/2015","809.00","809.00","809.00","809.00","","-3.80%"
"02/01/2015","841.00","841.00","841.00","841.00","","-2.55%"
"01/01/2015","863.00","863.00","863.00","863.00","","0.12%"
"12/01/2014","862.00","862.00","862.00","862.00","","-0.46%"
"11/01/2014","866.00","866.00","866.00","866.00","","7.05%"
"10/01/2014","809.00","809.00","809.00","809.00","","29.86%"
"09/01/2014","623.00","623.00","623.00","623.00","","-10.87%"
"08/01/2014","699.00","699.00","699.00","699.00","","-16.09%"
"07/01/2014","833.00","833.00","833.00","833.00","","15.06%"
"06/01/2014","724.00","724.00","724.00","724.00","","10.20%"
"05/01/2014","657.00","657.00","657.00","657.00","","1.39%"
"04/01/2014","648.00","648.00","648.00","648.00","","-7.43%"
"03/01/2014","700.00","700.00","700.00","700.00","","-3.58%"
"02/01/2014","726.00","726.00","726.00","726.00","","-27.76%"
"01/01/2014","1,005.00","1,005.00","1,005.00","1,005.00","","0.80%"
"12/01/2013","997.00","997.00","997.00","997.00","","47.92%"
"11/01/2013","674.00","674.00","674.00","674.00","","13.28%"
"10/01/2013","595.00","595.00","595.00","595.00","","1.88%"
"09/01/2013","584.00","584.00","584.00","584.00","","-6.11%"
"08/01/2013","622.00","622.00","622.00","622.00","","-0.32%"
"07/01/2013","624.00","624.00","624.00","624.00","","8.15%"
"06/01/2013","577.00","577.00","577.00","577.00","","-5.72%"
"05/01/2013","612.00","612.00","612.00","612.00","","-1.13%"
"04/01/2013","619.00","619.00","619.00","619.00","","-6.35%"
"03/01/2013","661.00","661.00","661.00","661.00","","-5.16%"
"02/01/2013","697.00","697.00","697.00","697.00","","9.59%"
"01/01/2013","636.00","636.00","636.00","636.00","","-16.75%"
"12/01/2012","764.00","764.00","764.00","764.00","","8.37%"
"11/01/2012","705.00","705.00","705.00","705.00","","4.60%"
"10/01/2012","674.00","674.00","674.00","674.00","","3.85%"
"09/01/2012","649.00","649.00","649.00","649.00","","3.51%"
"08/01/2012","627.00","627.00","627.00","627.00","","-2.34%"
"07/01/2012","642.00","642.00","642.00","642.00","","-5.87%"
"06/01/2012","682.00","682.00","682.00","682.00","","-3.54%"
"05/01/2012","707.00","707.00","707.00","707.00","","-9.24%"
"04/01/2012","779.00","779.00","779.00","779.00","","-4.77%"
"03/01/2012","818.00","818.00","818.00","818.00","","4.34%"
"02/01/2012","784.00","784.00","784.00","784.00","","-3.57%"
"01/01/2012","813.00","813.00","813.00","813.00","","-12.58%"
"12/01/2011","930.00","930.00","930.00","930.00","","18.02%"
"11/01/2011","788.00","788.00","788.00","788.00","","1.94%"
"10/01/2011","773.00","773.00","773.00","773.00","","10.90%"
"09/01/2011","697.00","697.00","697.00","697.00","","2.65%"
"08/01/2011","679.00","679.00","679.00","679.00","","-5.83%"
"07/01/2011","721.00","721.00","721.00","721.00","","-3.48%"
"06/01/2011","747.00","747.00","747.00","747.00","","-1.84%"
"05/01/2011","761.00","761.00","761.00","761.00","","-8.20%"
"04/01/2011","829.00","829.00","829.00","829.00","","-11.05%"
"03/01/2011","932.00","932.00","932.00","932.00","","1.41%"
"02/01/2011","919.00","919.00","919.00","919.00","","38.82%"
"01/01/2011","662.00","662.00","662.00","662.00","","-36.53%"
"12/01/2010","1,043.00","1,043.00","1,043.00","1,043.00","","18.25%"
"11/01/2010","882.00","882.00","882.00","882.00","","16.36%"
"10/01/2010","758.00","758.00","758.00","758.00","","10.50%"
"09/01/2010","686.00","686.00","686.00","686.00","","-4.06%"
"08/01/2010","715.00","715.00","715.00","715.00","","-10.18%"
"07/01/2010","796.00","796.00","796.00","796.00","","-6.90%"
"06/01/2010","855.00","855.00","855.00","855.00","","-11.12%"
"05/01/2010","962.00","962.00","962.00","962.00","","-3.41%"
"04/01/2010","996.00","996.00","996.00","996.00","","3.32%"
"03/01/2010","964.00","964.00","964.00","964.00","","7.47%"
"02/01/2010","897.00","897.00","897.00","897.00","","-16.71%"
"01/01/2010","1,077.00","1,077.00","1,077.00","1,077.00","","32.31%"
"12/01/2009","814.00","814.00","814.00","814.00","","19.88%"
"11/01/2009","679.00","679.00","679.00","679.00","","14.50%"
"10/01/2009","593.00","593.00","593.00","593.00","","4.04%"
"09/01/2009","570.00","570.00","570.00","570.00","","14.00%"
"08/01/2009","500.00","500.00","500.00","500.00","","5.49%"
"07/01/2009","474.00","474.00","474.00","474.00","","-26.85%"
"06/01/2009","648.00","648.00","648.00","648.00","","34.44%"
"05/01/2009","482.00","482.00","482.00","482.00","","1.05%"
"04/01/2009","477.00","477.00","477.00","477.00","","-11.67%"
"03/01/2009","540.00","540.00","540.00","540.00","","-10.15%"
"02/01/2009","601.00","601.00","601.00","601.00","","-1.64%"
"01/01/2009","611.00","611.00","611.00","611.00","","-50.84%"
"12/01/2008","1,243.00","1,243.00","1,243.00","1,243.00","","15.84%"
"11/01/2008","1,073.00","1,073.00","1,073.00","1,073.00","","-17.33%"
"10/01/2008","1,298.00","1,298.00","1,298.00","1,298.00","","-15.60%"
"09/01/2008","1,538.00","1,538.00","1,538.00","1,538.00","","5.49%"
