"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2022","1,162.00","1,192.00","1,192.00","1,192.00","","-5.99%"
"08/01/2022","1,236.00","1,365.00","1,365.00","1,365.00","","-9.32%"
"07/01/2022","1,363.00","1,551.00","1,551.00","1,551.00","","-12.96%"
"06/01/2022","1,566.00","1,407.00","1,407.00","1,407.00","","9.82%"
"05/01/2022","1,426.00","1,287.00","1,287.00","1,287.00","","13.63%"
"04/01/2022","1,255.00","917.00","917.00","917.00","","36.26%"
"03/01/2022","921.00","790.00","790.00","790.00","","25.99%"
"02/01/2022","731.00","583.00","583.00","583.00","","30.54%"
"01/01/2022","560.00","675.00","675.00","675.00","","-28.93%"
"12/01/2021","788.00","644.00","644.00","644.00","","23.90%"
"11/01/2021","636.00","578.00","578.00","578.00","","11.97%"
"10/01/2021","568.00","496.00","496.00","496.00","","14.52%"
"09/01/2021","496.00","481.00","481.00","481.00","","-7.29%"
"08/01/2021","535.00","535.00","535.00","535.00","","9.63%"
"07/01/2021","488.00","488.00","488.00","488.00","","9.17%"
"06/01/2021","447.00","447.00","447.00","447.00","","-12.18%"
"05/01/2021","509.00","509.00","509.00","509.00","","8.53%"
"04/01/2021","469.00","469.00","469.00","469.00","","-27.06%"
"03/01/2021","643.00","643.00","643.00","643.00","","22.24%"
"02/01/2021","526.00","526.00","526.00","526.00","","2.94%"
"01/01/2021","511.00","511.00","511.00","511.00","","32.73%"
"12/01/2020","385.00","385.00","385.00","385.00","","9.69%"
"11/01/2020","351.00","351.00","351.00","351.00","","12.50%"
"10/01/2020","312.00","312.00","312.00","312.00","","-16.35%"
"09/01/2020","373.00","373.00","373.00","373.00","","-23.09%"
"08/01/2020","485.00","485.00","485.00","485.00","","36.24%"
"07/01/2020","356.00","356.00","356.00","356.00","","-10.10%"
"06/01/2020","396.00","396.00","396.00","396.00","","-32.54%"
"05/01/2020","587.00","587.00","587.00","587.00","","-69.30%"
"04/01/2020","1,912.00","1,912.00","1,912.00","1,912.00","","120.79%"
"03/01/2020","866.00","866.00","866.00","866.00","","32.82%"
"02/01/2020","652.00","652.00","652.00","652.00","","6.02%"
"01/01/2020","615.00","615.00","615.00","615.00","","-35.40%"
"12/01/2019","952.00","952.00","952.00","952.00","","3.14%"
