"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2009","83.00","83.00","83.00","83.00","","-1.19%"
"06/01/2009","84.00","84.00","84.00","84.00","","-1.18%"
"05/01/2009","85.00","85.00","85.00","85.00","","-2.30%"
"04/01/2009","87.00","87.00","87.00","87.00","","-3.33%"
"03/01/2009","90.00","90.00","90.00","90.00","","-4.26%"
"02/01/2009","94.00","94.00","94.00","94.00","","-3.09%"
"01/01/2009","97.00","97.00","97.00","97.00","","-9.35%"
"12/01/2008","107.00","107.00","107.00","107.00","","-2.73%"
"11/01/2008","110.00","110.00","110.00","110.00","","-20.29%"
"10/01/2008","138.00","138.00","138.00","138.00","","-13.75%"
"09/01/2008","160.00","160.00","160.00","160.00","","-1.84%"
"08/01/2008","163.00","163.00","163.00","163.00","","0.62%"
"07/01/2008","162.00","162.00","162.00","162.00","","3.18%"
"06/01/2008","157.00","157.00","157.00","157.00","","6.80%"
"05/01/2008","147.00","147.00","147.00","147.00","","2.08%"
"04/01/2008","144.00","144.00","144.00","144.00","","1.41%"
"03/01/2008","142.00","142.00","142.00","142.00","","5.19%"
"02/01/2008","135.00","135.00","135.00","135.00","","0.75%"
"01/01/2008","134.00","134.00","134.00","134.00","","1.52%"
"12/01/2007","132.00","132.00","132.00","132.00","","2.33%"
"11/01/2007","129.00","129.00","129.00","129.00","","-0.77%"
"10/01/2007","130.00","130.00","130.00","130.00","","-0.76%"
"09/01/2007","131.00","131.00","131.00","131.00","","-1.50%"
"08/01/2007","133.00","133.00","133.00","133.00","","-0.75%"
"07/01/2007","134.00","134.00","134.00","134.00","","6.35%"
"06/01/2007","126.00","126.00","126.00","126.00","","6.78%"
"05/01/2007","118.00","118.00","118.00","118.00","","0.85%"
"04/01/2007","117.00","117.00","117.00","117.00","","0.00%"
"03/01/2007","117.00","117.00","117.00","117.00","","0.00%"
"02/01/2007","117.00","117.00","117.00","117.00","","-0.85%"
"01/01/2007","118.00","118.00","118.00","118.00","","-0.84%"
"12/01/2006","119.00","119.00","119.00","119.00","","-0.83%"
"11/01/2006","120.00","120.00","120.00","120.00","","0.00%"
"10/01/2006","120.00","120.00","120.00","120.00","","0.00%"
"09/01/2006","120.00","120.00","120.00","120.00","","0.84%"
"08/01/2006","119.00","119.00","119.00","119.00","","2.59%"
"07/01/2006","116.00","116.00","116.00","116.00","","0.00%"
"06/01/2006","116.00","116.00","116.00","116.00","","0.26%"
"05/01/2006","115.70","115.70","115.70","115.70","","-0.99%"
"04/01/2006","116.86","116.86","116.86","116.86","","-0.44%"
"03/01/2006","117.38","117.38","117.38","117.38","","0.20%"
"02/01/2006","117.15","117.15","117.15","117.15","","0.69%"
"01/01/2006","116.35","116.35","116.35","116.35","","2.29%"
"12/01/2005","113.75","113.75","113.75","113.75","","0.91%"
"11/01/2005","112.72","112.72","112.72","112.72","","-0.20%"
"10/01/2005","112.95","112.95","112.95","112.95","","-0.89%"
"09/01/2005","113.97","113.97","113.97","113.97","","-0.45%"
"08/01/2005","114.49","114.49","114.49","114.49","","-1.83%"
"07/01/2005","116.63","116.63","116.63","116.63","","-0.60%"
"06/01/2005","117.33","117.33","117.33","117.33","","-0.52%"
"05/01/2005","117.94","117.94","117.94","117.94","","-2.67%"
"04/01/2005","121.17","121.17","121.17","121.17","","1.54%"
"03/01/2005","119.33","119.33","119.33","119.33","","8.37%"
"02/01/2005","110.11","110.11","110.11","110.11","","1.33%"
"01/01/2005","108.67","108.67","108.67","108.67","","1.01%"
"12/01/2004","107.58","107.58","107.58","107.58","","0.54%"
"11/01/2004","107.00","107.00","107.00","107.00","","4.61%"
"10/01/2004","102.28","102.28","102.28","102.28","","9.85%"
"09/01/2004","93.11","93.11","93.11","93.11","","2.00%"
"08/01/2004","91.28","91.28","91.28","91.28","","4.50%"
"07/01/2004","87.35","87.35","87.35","87.35","","3.51%"
"06/01/2004","84.39","84.39","84.39","84.39","","3.90%"
"05/01/2004","81.22","81.22","81.22","81.22","","2.91%"
"04/01/2004","78.92","78.92","78.92","78.92","","2.55%"
"03/01/2004","76.96","76.96","76.96","76.96","","0.65%"
"02/01/2004","76.46","76.46","76.46","76.46","","4.47%"
"01/01/2004","73.19","73.19","73.19","73.19","","2.09%"
"12/01/2003","71.69","71.69","71.69","71.69","","11.63%"
"11/01/2003","64.22","64.22","64.22","64.22","","6.54%"
"10/01/2003","60.28","60.28","60.28","60.28","","0.79%"
